updateDate	line	rule	project	effort	type	cleanCodeAttribute	issueStatus	flows	scope	key	severity	comments	author	cleanCodeAttributeCategory	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2025-12-26T21:28:14-0300	3.0	dartanalyzer:constant_identifier_names	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	1c1e2bd1-75db-4193-80ae-8466b5c47a23	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	The constant name 'SUPABASE_URL' isn't a lowerCamelCase identifier	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=71.0}	1min	75b0261e71fe1f2c898f502ce18f2e94	OPEN
2025-12-26T21:28:14-0300	3.0	dartanalyzer:public_member_api_docs	Economizapp-Claude	10min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	2098e22c-b1ad-46b2-8d3f-5146e4d5c97b	INFO			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Missing documentation for a public member	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=71.0}	10min	75b0261e71fe1f2c898f502ce18f2e94	OPEN
2025-12-26T21:28:14-0300	3.0	dartanalyzer:prefer_double_quotes	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	bbc41112-8034-422d-b235-6e05fdd08e16	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=71.0}	1min	75b0261e71fe1f2c898f502ce18f2e94	OPEN
2025-12-26T21:28:14-0300	4.0	dartanalyzer:public_member_api_docs	Economizapp-Claude	10min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	59da9b17-7f3c-492a-a114-f379d7596e43	INFO			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Missing documentation for a public member	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=32.0}	10min	ee4f6615f02e5f8f350ba7680655f381	OPEN
2025-12-26T21:28:14-0300	4.0	dartanalyzer:constant_identifier_names	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	b3c3cb4e-3aba-4633-ab84-b9b8791243b8	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	The constant name 'SUPABASE_ANON_KEY' isn't a lowerCamelCase identifier	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=32.0}	1min	ee4f6615f02e5f8f350ba7680655f381	OPEN
2025-12-26T21:28:14-0300	5.0	dartanalyzer:lines_longer_than_80_chars	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	1c1c26b5-c483-4b4d-ae62-63553377aefd	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	character limit	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=215.0}	1min	a5f189115159c3dea27c8c33fa43a911	OPEN
2025-12-26T21:28:14-0300	5.0	dartanalyzer:prefer_double_quotes	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	a86bd67a-130a-4d1c-b270-fcd81d27d3f2	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=215.0}	1min	a5f189115159c3dea27c8c33fa43a911	OPEN
2025-12-26T21:28:14-0300	8.0	dartanalyzer:public_member_api_docs	Economizapp-Claude	10min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	8e7f79c1-a73f-48c9-914c-b33189cca300	INFO			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Missing documentation for a public member	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=57.0}	10min	a1ff9eac501765c8d282732f29acd43a	OPEN
2025-12-26T21:28:14-0300	8.0	dartanalyzer:prefer_double_quotes	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	a79e7943-0124-4c96-b7be-2cf234f719de	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=57.0}	1min	a1ff9eac501765c8d282732f29acd43a	OPEN
2025-12-26T21:28:14-0300	8.0	dartanalyzer:constant_identifier_names	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	b1e5ca9a-c390-4aad-b5e6-91676de578a2	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	The constant name 'SUPERUSER_EMAIL' isn't a lowerCamelCase identifier	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/config/supabase_config.dart	false	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=57.0}	1min	a1ff9eac501765c8d282732f29acd43a	OPEN
2025-12-26T21:28:14-0300	3.0	dartanalyzer:prefer_double_quotes	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	f1c058bb-e12e-44b2-a387-5f7e78ee2daa	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/main.dart	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=39.0}	1min	d9c48154525d174cff661ae1bec16e76	OPEN
2025-12-26T21:28:14-0300	4.0	dartanalyzer:prefer_double_quotes	Economizapp-Claude	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	d5eaa1a0-f07a-4b64-a87a-9dac39f7eb5d	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:28:14-0300	false			Economizapp-Claude:lib/main.dart	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=56.0}	1min	4c8a96f081517cb03cdf252b38c5d3ac	OPEN
